key	text	tooltip
#Loc;1;text/ceo/general_items/@@ironic_ceo_727.loc		
ceo_nodes_title_3k_main_ceo_career_historical_dong_zhao_unique	Perfectly Cromulent	true
ceo_nodes_description_3k_main_ceo_career_historical_dong_zhao_unique	A noble spirit embiggens the smallest man.	true
ceo_nodes_title_3k_main_ancilliary_armour_dong_zhao_unique_armour_unique	Dong Zhao Unique's Armour	true
ceo_nodes_description_3k_main_ancilliary_armour_dong_zhao_unique_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_ceo_career_historical_zhuge_ke	Prodigious and Conceited	true
ceo_nodes_description_3k_main_ceo_career_historical_zhuge_ke	Zhuge Ke's boundless talents are matched only by his incessant ego.	true
ceo_nodes_title_3k_main_ancilliary_armour_zhuge_ke_armour_unique	Zhuge Ke's Armour	true
ceo_nodes_description_3k_main_ancilliary_armour_zhuge_ke_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_ceo_career_historical_ling_tong	Daring Errant	true
ceo_nodes_description_3k_main_ceo_career_historical_ling_tong	For some men, war is a chance to prove one’s self and seek adventure.	true
ceo_nodes_title_3k_main_ancilliary_armour_ling_tong_armour_unique	Ling Tong's Armour	true
ceo_nodes_description_3k_main_ancilliary_armour_ling_tong_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_ceo_career_historical_cai_pingwan_title	Keen-eyed Caregiver	true
ceo_nodes_description_3k_main_ceo_career_historical_cai_pingwan_title	With a protective and nurturing nature, Cai Pingwan keeps a close watch over all under her care.	true
