key	text	tooltip
#Loc;1;text/ceo/liu_yu/!!tribal_ceo_liu_yu_title.loc		
ceo_nodes_title_3k_main_ceo_liu_yu_han_capital_changan	Changan	true
ceo_nodes_title_3k_main_ceo_liu_yu_00_han_capital_changan	Changan	true
ceo_nodes_title_3k_main_ceo_liu_yu_han_capital_luoyang	Luoyang	true
ceo_nodes_title_3k_main_ceo_liu_yu_00_han_capital_luoyang	Luoyang	true
ceo_nodes_title_3k_main_ceo_liu_yu_00_han_capital_penchang	Penchang	true
ceo_nodes_title_3k_main_ceo_liu_yu_han_capital_penchang	Penchang	true
ceo_nodes_title_3k_main_ceo_liu_yu_han_capital_weijun	Wei	true
ceo_nodes_title_3k_main_ceo_liu_yu_00_han_capital_weijun	Wei	true
ceo_nodes_title_3k_main_ceo_liu_yu_han_capital_yingchuan	Yingchuan	true
ceo_nodes_title_3k_main_ceo_liu_yu_00_han_capital_yingchuan	Yingchuan	true
ceo_nodes_title_3k_main_ceo_liu_yu_han_character_liu_he	Liu He	true
ceo_nodes_title_3k_main_ceo_liu_yu_00_han_character_liu_he	Liu He	true
ceo_nodes_title_3k_main_ceo_liu_yu_00_han_character_liu_xie	Liu Xie	true
ceo_nodes_title_3k_main_ceo_liu_yu_han_character_liu_xie	Liu Xie	true
ceo_nodes_title_3k_main_ceo_liu_yu_han_character_liu_yu	Liu Yu	true
ceo_nodes_title_3k_main_ceo_liu_yu_00_han_character_liu_yu_00	Liu Yu	true
ceo_nodes_title_3k_main_ceo_liu_yu_00_han_character_tian_chou	Tian Chou	true
ceo_nodes_title_3k_main_ceo_liu_yu_han_character_tian_chou	Tian Chou	true
ceo_nodes_title_3k_main_ceo_liu_yu_han_character_wei_you	Wei You	true
ceo_nodes_title_3k_main_ceo_liu_yu_00_han_character_wei_you	Wei You	true
ceo_nodes_title_3k_main_ceo_liu_yu_han_character_xianyu_fu	Xianyu Fu	true
ceo_nodes_title_3k_main_ceo_liu_yu_00_han_character_xianyu_fu	Xianyu Fu	true
ceo_nodes_title_3k_main_ceo_liu_yu_00_han_character_xianyu_yin	Xianyu Yin	true
ceo_nodes_title_3k_main_ceo_liu_yu_han_character_xianyu_yin	Xianyu Yin	true
ceo_nodes_title_3k_main_ceo_liu_yu_tribal_character_huchuquan	Huchuquan	true
ceo_nodes_title_3k_main_ceo_liu_yu_00_tribal_character_huchuquan	Huchuquan	true
ceo_nodes_title_3k_main_ceo_liu_yu_00_tribal_character_liu_bao	Liu Bao	true
ceo_nodes_title_3k_main_ceo_liu_yu_tribal_character_liu_bao	Liu Bao	true
ceo_nodes_title_3k_main_ceo_liu_yu_00_tribal_character_qubei	Qubei	true
ceo_nodes_title_3k_main_ceo_liu_yu_tribal_character_qubei	Qubei	true
ceo_nodes_title_3k_main_ceo_liu_yu_tribal_character_recruit_nanlou	Nanlou	true
ceo_nodes_title_3k_main_ceo_liu_yu_00_tribal_character_recruit_nanlou	Nanlou	true
ceo_nodes_title_3k_main_ceo_liu_yu_tribal_character_recruit_qiulijiu	Qiulijiu	true
ceo_nodes_title_3k_main_ceo_liu_yu_00_tribal_character_recruit_qiulijiu	Qiulijiu	true
ceo_nodes_title_3k_main_ceo_liu_yu_tribal_character_recruit_supuyuan	Supuyuan	true
ceo_nodes_title_3k_main_ceo_liu_yu_00_tribal_character_recruit_supuyuan	Supuyuan	true
ceo_nodes_title_3k_main_ceo_liu_yu_tribal_character_recruit_tadun	Tadun	true
ceo_nodes_title_3k_main_ceo_liu_yu_00_tribal_character_recruit_tadun	Tadun	true
ceo_nodes_title_3k_main_ceo_liu_yu_tribal_character_recruit_wuyan	Wuyan	true
ceo_nodes_title_3k_main_ceo_liu_yu_00_tribal_character_recruit_wuyan	Wuyan	true
ceo_nodes_title_3k_main_ceo_liu_yu_tribal_character_yufuluo	Yufuluo	true
ceo_nodes_title_3k_main_ceo_liu_yu_00_tribal_character_yufuluo	Yufuluo	true
