key	text	tooltip
#Loc;1;text/ceo/lu_bu/lubu_greatest_warriors.loc		
ui_text_replacements_localised_text_3k_dlc05_startpos_label_cao_chun_header	Cao Chun	false
ui_text_replacements_localised_text_3k_dlc05_factional_warrior_defeated_cao_chun_desc	Unlocked by defeating Cao Chun with your faction leader	false
ui_text_replacements_localised_text_3k_dlc05_startpos_label_cao_hong_header	Cao Hong	false
ui_text_replacements_localised_text_3k_dlc05_factional_warrior_defeated_cao_hong_desc	Unlocked by defeating Cao Hong with your faction leader	false
ui_text_replacements_localised_text_3k_dlc05_startpos_label_cao_ren_header	Cao Ren	false
ui_text_replacements_localised_text_3k_dlc05_factional_warrior_defeated_cao_ren_desc	Unlocked by defeating Cao Ren with your faction leader	false
ui_text_replacements_localised_text_3k_dlc05_startpos_label_chen_gui_header	Chen Gui	false
ui_text_replacements_localised_text_3k_dlc05_factional_warrior_defeated_chen_gui_desc	Unlocked by defeating Chen Gui with your faction leader	false
ui_text_replacements_localised_text_3k_dlc05_startpos_label_chen_wu_header	Chen Wu	false
ui_text_replacements_localised_text_3k_dlc05_factional_warrior_defeated_chen_wu_desc	Unlocked by defeating Chen Wu with your faction leader	false
ui_text_replacements_localised_text_3k_dlc05_startpos_label_chunyu_qiong_header	Chunyu Qiong	false
ui_text_replacements_localised_text_3k_dlc05_factional_warrior_defeated_chunyu_qiong_desc	Unlocked by defeating Chunyu Qiong with your faction leader	false
ui_text_replacements_localised_text_3k_dlc05_startpos_label_ding_feng_header	Ding Feng	false
ui_text_replacements_localised_text_3k_dlc05_factional_warrior_defeated_ding_feng_desc	Unlocked by defeating Ding Feng with your faction leader	false
ui_text_replacements_localised_text_3k_dlc05_startpos_label_dong_xi_header	Dong Xi	false
ui_text_replacements_localised_text_3k_dlc05_factional_warrior_defeated_dong_xi_desc	Unlocked by defeating Dong Xi with your faction leader	false
ui_text_replacements_localised_text_3k_dlc05_startpos_label_dou_mao_header	Dou Mao	false
ui_text_replacements_localised_text_3k_dlc05_factional_warrior_defeated_dou_mao_desc	Unlocked by defeating Dou Mao with your faction leader	false
ui_text_replacements_localised_text_3k_dlc05_startpos_label_gao_lan_header	Gao Lan	false
ui_text_replacements_localised_text_3k_dlc05_factional_warrior_defeated_gao_lan_desc	Unlocked by defeating Gao Lan with your faction leader	false
ui_text_replacements_localised_text_3k_dlc05_ceo_factional_warrior_defeated_gongsun_du_title	Gongsun Du	false
ui_text_replacements_localised_text_3k_dlc05_ceo_factional_warrior_defeated_gongsun_du_desc	Unlocked by defeating Gongsun Du with your faction leader	false
ui_text_replacements_localised_text_3k_dlc05_startpos_label_han_dang_header	Han Dang	false
ui_text_replacements_localised_text_3k_dlc05_factional_warrior_defeated_han_dang_desc	Unlocked by defeating Han Dang with your faction leader	false
ui_text_replacements_localised_text_3k_dlc05_startpos_label_hucheer_header	Hu Che'er	false
ui_text_replacements_localised_text_3k_dlc05_factional_warrior_defeated_hucheer_desc	Unlocked by defeating Hu Che'er with your faction leader	false
ui_text_replacements_localised_text_3k_dlc05_startpos_label_jiang_qin_header	Jiang Qin	false
ui_text_replacements_localised_text_3k_dlc05_factional_warrior_defeated_jiang_qin_desc	Unlocked by defeating Jiang Qin with your faction leader	false
ui_text_replacements_localised_text_3k_dlc05_startpos_label_kuitou_header	Kuitou	false
ui_text_replacements_localised_text_3k_dlc05_factional_warrior_defeated_kuitou_desc	Unlocked by defeating Kuitou with your faction leader	false
ui_text_replacements_localised_text_3k_dlc05_startpos_label_li_ru_header	Li Ru	false
ui_text_replacements_localised_text_3k_dlc05_factional_warrior_defeated_li_ru_desc	Unlocked by defeating Li Ru with your faction leader	false
ui_text_replacements_localised_text_3k_dlc05_startpos_label_ling_tong_header	Ling Tong	false
ui_text_replacements_localised_text_3k_dlc05_factional_warrior_defeated_ling_tong_desc	Unlocked by defeating Ling Tong with your faction leader	false
ui_text_replacements_localised_text_3k_dlc05_startpos_label_liu_pi_header	Liu Pi	false
ui_text_replacements_localised_text_3k_dlc05_startpos_label_liu_pi_desc	Unlocked by defeating Liu Pi with your faction leader	false
ui_text_replacements_localised_text_3k_dlc05_startpos_label_lu_meng_header	Lu Meng	false
ui_text_replacements_localised_text_3k_dlc05_factional_warrior_defeated_lu_meng_desc	Unlocked by defeating Lu Meng with your faction leader	false
ui_text_replacements_localised_text_3k_dlc05_factional_warrior_defeated_meng_huo_desc	Unlocked by defeating King Meng Huo with your faction leader	false
ui_text_replacements_localised_text_3k_dlc05_startpos_label_mike_header	Mike	false
ui_text_replacements_localised_text_3k_dlc05_factional_warrior_defeated_mike_desc	Unlocked by defeating Mike with your faction leader	false
ui_text_replacements_localised_text_3k_dlc05_factional_warrior_defeated_mulu_desc	Unlocked by defeating King Mulu with your faction leader	false
ui_text_replacements_localised_text_3k_dlc05_startpos_label_pang_de_header	Pang De	false
ui_text_replacements_localised_text_3k_dlc05_factional_warrior_defeated_pang_de_desc	Unlocked by defeating Pang De with your faction leader	false
ui_text_replacements_localised_text_3k_dlc05_factional_warrior_defeated_shamoke_desc	Unlocked by defeating King Shamoke with your faction leader	false
ui_text_replacements_localised_text_3k_dlc05_startpos_label_song_jian_header	Song Jian	false
ui_text_replacements_localised_text_3k_dlc05_startpos_label_song_jian_desc	Unlocked by defeating Song Jian with your faction leader	false
ui_text_replacements_localised_text_3k_dlc05_factional_warrior_defeated_sun_jian_desc	Unlocked by defeating Sun Jian with your faction leader	false
ui_text_replacements_localised_text_3k_dlc05_startpos_label_tadun_header	Tadun	false
ui_text_replacements_localised_text_3k_dlc05_factional_warrior_defeated_tadun_desc	Unlocked by defeating Tadun with your faction leader	false
ui_text_replacements_localised_text_3k_dlc05_startpos_label_tuoba_jiefan_header	Tuoba Jiefan	false
ui_text_replacements_localised_text_3k_dlc05_factional_warrior_defeated_tuoba_jiefan_desc	Unlocked by defeating Tuoba Jiefan with your faction leader	false
ui_text_replacements_localised_text_3k_dlc05_startpos_label_wen_chou_header	Wen Chou	false
ui_text_replacements_localised_text_3k_dlc05_factional_warrior_defeated_wen_chou_desc	Unlocked by defeating Wen Chou with your faction leader	false
ui_text_replacements_localised_text_3k_dlc05_startpos_label_wu_huan_header	Wu Huan	false
ui_text_replacements_localised_text_3k_dlc05_startpos_label_wu_huan_desc	Unlocked by defeating Wu Huan with your faction leader	false
ui_text_replacements_localised_text_3k_dlc05_startpos_label_wu_jing_header	Wu Jing	false
ui_text_replacements_localised_text_3k_dlc05_factional_warrior_defeated_wu_jing_desc	Unlocked by defeating Wu Jing with your faction leader	false
ui_text_replacements_localised_text_3k_dlc05_startpos_label_wutugu_header	King Wutugu	false
ui_text_replacements_localised_text_3k_dlc05_factional_warrior_defeated_wutugu_desc	Unlocked by defeating King Wutugu with your faction leader	false
ui_text_replacements_localised_text_3k_dlc05_startpos_label_xu_sheng_header	Xu Sheng	false
ui_text_replacements_localised_text_3k_dlc05_factional_warrior_defeated_xu_sheng_desc	Unlocked by defeating Xu Sheng with your faction leader	false
ui_text_replacements_localised_text_3k_dlc05_startpos_label_yan_liang_header	Yan Liang	false
