key	text	tooltip
#Loc;1;text/db/buildings/side_buildings.loc		
building_superchains_name_ironic_province_you_standard	Provincial Buildings	false
building_superchains_description_ironic_province_you_standard	Provincial Buildings	false
building_chains_chain_tooltip_ironic_province_you_standard	[[col:flavour]]You Recruitment Hub[[/col]]	false
building_chains_encyclopedia_description_ironic_province_you_standard	You Recruitment Hub	false
building_chains_encyclopedia_name_ironic_province_you_standard	You Recruitment Hub	false
building_chains_override_description_ironic_province_you_standard	You Recruitment Hub	false
building_chains_chain_tooltip_ironic_province_you_wuhuan	[[col:flavour]]You-Wuhuan Recruitment Hub[[/col]]	false
building_chains_encyclopedia_description_ironic_province_you_wuhuan	You-Wuhuan Recruitment Hub	false
building_chains_encyclopedia_name_ironic_province_you_wuhuan	You-Wuhuan Recruitment Hub	false
building_chains_override_description_ironic_province_you_wuhuan	You-Wuhuan Recruitment Hub	false
building_chains_chain_tooltip_ironic_province_you_xianbei	[[col:flavour]]You-Xianbei Recruitment Hub[[/col]]	false
building_chains_encyclopedia_description_ironic_province_you_xianbei	You-Xianbei Recruitment Hub	false
building_chains_encyclopedia_name_ironic_province_you_xianbei	You-Xianbei Recruitment Hub	false
building_chains_override_description_ironic_province_you_xianbei	You-Xianbei Recruitment Hub	false
building_chains_chain_tooltip_ironic_province_bing_standard	[[col:flavour]]Bing Recruitment Hub[[/col]]	false
building_chains_encyclopedia_description_ironic_province_bing_standard	Bing Recruitment Hub	false
building_chains_encyclopedia_name_ironic_province_bing_standard	Bing Recruitment Hub	false
building_chains_override_description_ironic_province_bing_standard	Bing Recruitment Hub	false
building_chains_chain_tooltip_ironic_province_bing_xiongnu	[[col:flavour]]Bing-Xiongnu Recruitment Hub[[/col]]	false
building_chains_encyclopedia_description_ironic_province_bing_xiongnu	Bing-Xiongnu Recruitment Hub	false
building_chains_encyclopedia_name_ironic_province_bing_xiongnu	Bing-Xiongnu Recruitment Hub	false
building_chains_override_description_ironic_province_bing_xiongnu	Bing-Xiongnu Recruitment Hub	false
building_chains_chain_tooltip_ironic_province_bing_xiliang	[[col:flavour]]Bing-Xiliang Recruitment Hub[[/col]]	false
building_chains_encyclopedia_description_ironic_province_bing_xiliang	Bing-Xiliang Recruitment Hub	false
building_chains_encyclopedia_name_ironic_province_bing_xiliang	Bing-Xiliang Recruitment Hub	false
building_chains_override_description_ironic_province_bing_xiliang	Bing-Xiliang Recruitment Hub	false
building_chains_chain_tooltip_ironic_province_liang_standard	[[col:flavour]]Liang Recruitment Hub[[/col]]	false
building_chains_encyclopedia_description_ironic_province_liang_standard	Liang Recruitment Hub	false
building_chains_encyclopedia_name_ironic_province_liang_standard	Liang Recruitment Hub	false
building_chains_override_description_ironic_province_liang_standard	Liang Recruitment Hub	false
building_chains_chain_tooltip_ironic_province_liang_xiliang	[[col:flavour]]Liang-Xiliang Recruitment Hub[[/col]]	false
building_chains_encyclopedia_description_ironic_province_liang_xiliang	Liang-Xiliang Recruitment Hub	false
