key	text	tooltip
#Loc;1;text/db/buildings/unqiuebuildings/gongsundu.loc		
building_culture_variants_name_3k_district_government_administration_1_gongsun_du	Office of Affairs	false
building_culture_variants_name_3k_district_government_administration_2_gongsun_du	Office of Affairs	false
building_culture_variants_name_3k_district_government_administration_3_gongsun_du	Office of Affairs	false
building_culture_variants_name_3k_district_government_administration_4_gongsun_du	Office of Affairs	false
building_culture_variants_name_3k_district_government_administration_5_gongsun_du	Office of Affairs	false
building_culture_variants_name_3k_district_government_law_3_gongsun_du	Office of Affairs	false
building_culture_variants_name_3k_district_government_law_4_gongsun_du	Office of Affairs	false
building_culture_variants_name_3k_district_government_law_5_gongsun_du	Office of Affairs	false
building_culture_variants_name_3k_district_government_law_jade_5_gongsun_du	Office of Affairs	false
building_chains_chain_tooltip_3k_district_government_administration_palace_gongsun_du	[[col:flavour]]Office of Affairs[[/col]]	false
building_chains_encyclopedia_description_3k_district_government_administration_palace_gongsun_du	Office of Affairs	false
building_chains_encyclopedia_name_3k_district_government_administration_palace_gongsun_du	Office of Affairs	false
building_chains_override_description_3k_district_government_administration_palace_gongsun_du	Office of Affairs	false
