key	text	tooltip
#Loc;1;text/db/factions/!!!ironic_kingdom_names.loc		
campaign_group_faction_cosmetic_overrides_name_3k_mod_campaign_group_cosmetic_tag_faction_name_qu_pan_world_leader	Kingdom of Yi	true
campaign_group_faction_cosmetic_overrides_name_3k_mod_campaign_group_cosmetic_tag_faction_name_qu_pan_3_3k_main_han_chinese	Duchy of Yi	true
campaign_group_faction_cosmetic_overrides_name_3k_mod_campaign_group_cosmetic_tag_faction_name_qu_pan_4_3k_main_han_chinese	Kingdom of Yi	true
campaign_group_faction_cosmetic_overrides_name_3k_mod_campaign_group_cosmetic_tag_faction_name_qu_pan_3_3k_dlc04_han_chinese	Duchy of Yi	true
campaign_group_faction_cosmetic_overrides_name_3k_mod_campaign_group_cosmetic_tag_faction_name_qu_pan_4_3k_dlc04_han_chinese	Kingdom of Yi	true
campaign_group_faction_cosmetic_overrides_name_3k_mod_campaign_group_cosmetic_tag_faction_name_wu_ju_world_leader	Kingdom of Rui	true
campaign_group_faction_cosmetic_overrides_name_3k_mod_campaign_group_cosmetic_tag_faction_name_wu_ju_3_3k_main_han_chinese	Duchy of Rui	true
campaign_group_faction_cosmetic_overrides_name_3k_mod_campaign_group_cosmetic_tag_faction_name_wu_ju_4_3k_main_han_chinese	Kingdom of Rui	true
campaign_group_faction_cosmetic_overrides_name_3k_mod_campaign_group_cosmetic_tag_faction_name_wu_ju_3_3k_dlc04_han_chinese	Duchy of Rui	true
campaign_group_faction_cosmetic_overrides_name_3k_mod_campaign_group_cosmetic_tag_faction_name_wu_ju_4_3k_dlc04_han_chinese	Kingdom of Rui	true
campaign_group_faction_cosmetic_overrides_name_3k_mod_campaign_group_cosmetic_tag_faction_name_lai_gong_world_leader	Kingdom of Hao	true
campaign_group_faction_cosmetic_overrides_name_3k_mod_campaign_group_cosmetic_tag_faction_name_lai_gong_3_3k_main_han_chinese	Duchy of Hao	true
campaign_group_faction_cosmetic_overrides_name_3k_mod_campaign_group_cosmetic_tag_faction_name_lai_gong_4_3k_main_han_chinese	Kingdom of Hao	true
campaign_group_faction_cosmetic_overrides_name_3k_mod_campaign_group_cosmetic_tag_faction_name_lai_gong_3_3k_dlc04_han_chinese	Duchy of Hao	true
campaign_group_faction_cosmetic_overrides_name_3k_mod_campaign_group_cosmetic_tag_faction_name_lai_gong_4_3k_dlc04_han_chinese	Kingdom of Hao	true
campaign_group_faction_cosmetic_overrides_name_3k_mod_campaign_group_cosmetic_tag_faction_name_ni_xiaode_world_leader	Kingdom of Min	true
campaign_group_faction_cosmetic_overrides_name_3k_mod_campaign_group_cosmetic_tag_faction_name_ni_xiaode_3_3k_main_han_chinese	Duchy of Min	true
campaign_group_faction_cosmetic_overrides_name_3k_mod_campaign_group_cosmetic_tag_faction_name_ni_xiaode_4_3k_main_han_chinese	Kingdom of Min	true
campaign_group_faction_cosmetic_overrides_name_3k_mod_campaign_group_cosmetic_tag_faction_name_ni_xiaode_3_3k_dlc04_han_chinese	Duchy of Min	true
campaign_group_faction_cosmetic_overrides_name_3k_mod_campaign_group_cosmetic_tag_faction_name_ni_xiaode_4_3k_dlc04_han_chinese	Kingdom of Min	true
