key	text	tooltip
#Loc;1;text/db/factions/faction_resources/qu_panresource/qu_pan_effects.loc		
effect_bundles_localised_title_ironic_madness_parrot_economy	Parrot Economy	false
effect_bundles_localised_description_ironic_madness_parrot_economy	Your people have been replaced with parrots, courtesy of Commander Lu, and they have forgone sleep increasing the output of your economy.	false
effect_bundles_localised_title_ironic_madness_satisfaction_bonus	Only Compliments	false
effect_bundles_localised_description_ironic_madness_satisfaction_bonus	The court is being flattered in its own voices. Morale is inexplicably excellent.	false
effect_bundles_localised_title_ironic_madness_extreme_spears	A Wall of Very Convinced Wood	false
effect_bundles_localised_description_ironic_madness_extreme_spears	The spearmen are a forest, and forests hold. The whole army bills you for it.	false
effect_bundles_localised_title_ironic_madness_extreme_charge_cavalry	Ride Them Down, Said the Bird	false
effect_bundles_localised_description_ironic_madness_extreme_charge_cavalry	The horses understand now. The whole army bills you for it.	false
effect_bundles_localised_title_ironic_madness_extreme_melee_cavalry	Iron Horses of the Feathered Emperor	false
effect_bundles_localised_description_ironic_madness_extreme_melee_cavalry	Knighted horses fight with grim ceremony. The whole army bills you for it.	false
effect_bundles_localised_title_ironic_madness_extreme_bows	Every Arrow a Squawk	false
effect_bundles_localised_description_ironic_madness_extreme_bows	Volleys loosed to the Commander's call. The whole army bills you for it.	false
effect_bundles_localised_title_ironic_madness_extreme_charge_infantry	Run at Them Until They Stop	false
effect_bundles_localised_description_ironic_madness_extreme_charge_infantry	Doctrine, banner, prophecy. The whole army bills you for it.	false
effect_bundles_localised_title_ironic_madness_extreme_frontline	The Shield Line That Dreams	false
effect_bundles_localised_description_ironic_madness_extreme_frontline	The line holds, awake or otherwise. The whole army bills you for it.	false
effect_bundles_localised_title_ironic_madness_extreme_animals	The Beasts Have Opinions Now	false
effect_bundles_localised_description_ironic_madness_extreme_animals	Unionised war beasts, insultingly correct. The whole army bills you for it.	false
effects_description_ironic_madness_character_spawn	Of Age Character spawns	false
effects_description_ironic_madness_character_wounded	Character is wounded	false
effects_description_ironic_madness_character_killed	Character is killed	false
effects_description_ironic_madness_army_travel	Army is traveled to Beihai	false
effects_description_ironic_madness_total_war	Total War!	false
effects_description_ironic_madness_trade_off	Trade Off!	false
effects_description_ironic_madness_destroyer_of_worlds	Faction is destroyed	false
effects_description_ironic_madness_confedrate_faction	Faction is confederated	false
effects_description_ironic_madness_vassal_faction	Faction is vassalized	false
effects_description_ironic_madness_good_to_bad	Character loses good trait	false
effects_description_ironic_madness_bad_to_good	Character gains good trait	false
effects_description_ironic_madness_ihnmaims	All characters are killed, game over.	false
effect_bundles_localised_title_ironic_madness_fox_cheese_wheel	A Fox Stole the Cheese Wheel	false
effect_bundles_localised_description_ironic_madness_fox_cheese_wheel	Commander Lu is inconsolable, and the court grieves with him. Mostly out of fear.	false
effect_bundles_localised_title_ironic_madness_lu_meets_pig	An Unreasonably Angry Bird	false
effect_bundles_localised_description_ironic_madness_lu_meets_pig	Commander Lu met a pig and lost the argument. The army now attacks like it has something to prove.	false
effect_bundles_localised_title_ironic_madness_dementia	Who Are You Again?	false
effect_bundles_localised_description_ironic_madness_dementia	Names are a chore. Experience is a rumour.	false
effect_bundles_localised_title_ironic_madness_something_bad	Something Bad	false
effect_bundles_localised_description_ironic_madness_something_bad	Nobody wrote down what, but the granaries feel it.	false
effect_bundles_localised_title_ironic_madness_all_horses_belong	The Horse Strike	false
effect_bundles_localised_description_ironic_madness_all_horses_belong	The horses demand equal rights and back pay. Negotiations are ongoing and expensive.	false
effect_bundles_localised_title_ironic_madness_the_father	Strange Babies	false
effect_bundles_localised_description_ironic_madness_the_father	The court has acquired an heir of unexplained provenance.	false
effect_bundles_localised_title_ironic_madness_rat_infestion	Head Chefs (Vetoed)	false
effect_bundles_localised_description_ironic_madness_rat_infestion	The rats were very nearly promoted. The pantry remembers.	false
effect_bundles_localised_title_ironic_madness_talking_trees	King of the Trees	false
effect_bundles_localised_description_ironic_madness_talking_trees	Your new subjects are loyal, stationary, and everywhere. Travel has become philosophical.	false
effect_bundles_localised_title_ironic_madness_cross_lu	The Commander's Displeasure	false
effect_bundles_localised_description_ironic_madness_cross_lu	Someone fell down stairs that were not there.	false
effect_bundles_localised_title_ironic_madness_cross_death_lu	The Commander's Final Displeasure	false
effect_bundles_localised_description_ironic_madness_cross_death_lu	The eulogy is one squawk, held indefinitely.	false
effect_bundles_localised_title_ironic_madness_airplane_travel	The Airplane	false
effect_bundles_localised_description_ironic_madness_airplane_travel	An army has been travelled to Beihai by means that do not exist.	false
effect_bundles_localised_title_ironic_madness_total_war	War is SQUAWK	false
effect_bundles_localised_description_ironic_madness_total_war	Every court that had not yet understood is being made to understand.	false
effect_bundles_localised_title_ironic_madness_trade_offs	Trade Offs Are Good for the Game	false
effect_bundles_localised_description_ironic_madness_trade_offs	Every trade deal has been broken to make your choices more meaningful.	false
