key	text	tooltip
#Loc;1;text/db/ironic_horde_effects.loc		
effect_bundles_localised_title_ironic_horde_city_1	Nomadic Host (Tier 1)	false
effect_bundles_localised_description_ironic_horde_city_1	The rolling heart of the horde. Every level opens new building slots, but so great a host is costly to keep.	false
effect_bundles_localised_title_ironic_horde_city_2	Nomadic Host (Tier 2)	false
effect_bundles_localised_description_ironic_horde_city_2	The rolling heart of the horde. Every level opens new building slots, but so great a host is costly to keep.	false
effect_bundles_localised_title_ironic_horde_city_3	Nomadic Host (Tier 3)	false
effect_bundles_localised_description_ironic_horde_city_3	The rolling heart of the horde. Every level opens new building slots, but so great a host is costly to keep.	false
effect_bundles_localised_title_ironic_horde_city_4	Nomadic Host (Tier 4)	false
effect_bundles_localised_description_ironic_horde_city_4	The rolling heart of the horde. Every level opens new building slots, but so great a host is costly to keep.	false
effect_bundles_localised_title_ironic_horde_city_5	Nomadic Host (Tier 5)	false
effect_bundles_localised_description_ironic_horde_city_5	The rolling heart of the horde. Every level opens new building slots, but so great a host is costly to keep.	false
effect_bundles_localised_title_ironic_horde_city_6	Nomadic Host (Tier 6)	false
effect_bundles_localised_description_ironic_horde_city_6	The rolling heart of the horde. Every level opens new building slots, but so great a host is costly to keep.	false
effect_bundles_localised_title_ironic_horde_city_7	Nomadic Host (Tier 7)	false
effect_bundles_localised_description_ironic_horde_city_7	The rolling heart of the horde. Every level opens new building slots, but so great a host is costly to keep.	false
effect_bundles_localised_title_ironic_horde_city_wuhuan_1	Nomadic Host of the Wuhuan (Tier 1)	false
effect_bundles_localised_description_ironic_horde_city_wuhuan_1	The rolling heart of the Wuhuan. Every level opens new building slots and quickens the march, but so great a host is costly to keep.	false
effect_bundles_localised_title_ironic_horde_city_wuhuan_2	Nomadic Host of the Wuhuan (Tier 2)	false
effect_bundles_localised_description_ironic_horde_city_wuhuan_2	The rolling heart of the Wuhuan. Every level opens new building slots and quickens the march, but so great a host is costly to keep.	false
effect_bundles_localised_title_ironic_horde_city_wuhuan_3	Nomadic Host of the Wuhuan (Tier 3)	false
effect_bundles_localised_description_ironic_horde_city_wuhuan_3	The rolling heart of the Wuhuan. Every level opens new building slots and quickens the march, but so great a host is costly to keep.	false
effect_bundles_localised_title_ironic_horde_city_wuhuan_4	Nomadic Host of the Wuhuan (Tier 4)	false
effect_bundles_localised_description_ironic_horde_city_wuhuan_4	The rolling heart of the Wuhuan. Every level opens new building slots and quickens the march, but so great a host is costly to keep.	false
effect_bundles_localised_title_ironic_horde_city_wuhuan_5	Nomadic Host of the Wuhuan (Tier 5)	false
effect_bundles_localised_description_ironic_horde_city_wuhuan_5	The rolling heart of the Wuhuan. Every level opens new building slots and quickens the march, but so great a host is costly to keep.	false
effect_bundles_localised_title_ironic_horde_city_wuhuan_6	Nomadic Host of the Wuhuan (Tier 6)	false
effect_bundles_localised_description_ironic_horde_city_wuhuan_6	The rolling heart of the Wuhuan. Every level opens new building slots and quickens the march, but so great a host is costly to keep.	false
effect_bundles_localised_title_ironic_horde_city_wuhuan_7	Nomadic Host of the Wuhuan (Tier 7)	false
effect_bundles_localised_description_ironic_horde_city_wuhuan_7	The rolling heart of the Wuhuan. Every level opens new building slots and quickens the march, but so great a host is costly to keep.	false
effect_bundles_localised_title_ironic_horde_forge_1	Mobile Forge (Tier 1)	false
effect_bundles_localised_description_ironic_horde_forge_1	The horde's smiths ride with the war-band. Better armour and blades for this army, at a cost in upkeep.	false
effect_bundles_localised_title_ironic_horde_forge_2	Mobile Forge (Tier 2)	false
effect_bundles_localised_description_ironic_horde_forge_2	The horde's smiths ride with the war-band. Better armour and blades for this army, at a cost in upkeep.	false
effect_bundles_localised_title_ironic_horde_forge_3	Mobile Forge (Tier 3)	false
effect_bundles_localised_description_ironic_horde_forge_3	The horde's smiths ride with the war-band. Better armour and blades for this army, at a cost in upkeep.	false
effect_bundles_localised_title_ironic_horde_forge_4	Mobile Forge (Tier 4)	false
effect_bundles_localised_description_ironic_horde_forge_4	The horde's smiths ride with the war-band. Better armour and blades for this army, at a cost in upkeep.	false
effect_bundles_localised_title_ironic_horde_forge_5	Mobile Forge (Tier 5)	false
effect_bundles_localised_description_ironic_horde_forge_5	The horde's smiths ride with the war-band. Better armour and blades for this army, at a cost in upkeep.	false
effect_bundles_localised_title_ironic_horde_forge_fac	Mobile Forge (Legacy)	false
effect_bundles_localised_description_ironic_horde_forge_fac	The horde's smiths ride with the war-band. Better armour and blades for this army, at a cost in upkeep.	false
effect_bundles_localised_title_ironic_horde_stockade_1	Fletchers (Tier 1)	false
effect_bundles_localised_description_ironic_horde_stockade_1	Bowyers and fletchers keep every quiver full. More ammunition and deadlier arrows for this army, at a cost in upkeep.	false
effect_bundles_localised_title_ironic_horde_stockade_2	Fletchers (Tier 2)	false
effect_bundles_localised_description_ironic_horde_stockade_2	Bowyers and fletchers keep every quiver full. More ammunition and deadlier arrows for this army, at a cost in upkeep.	false
effect_bundles_localised_title_ironic_horde_stockade_3	Fletchers (Tier 3)	false
effect_bundles_localised_description_ironic_horde_stockade_3	Bowyers and fletchers keep every quiver full. More ammunition and deadlier arrows for this army, at a cost in upkeep.	false
effect_bundles_localised_title_ironic_horde_stockade_4	Fletchers (Tier 4)	false
effect_bundles_localised_description_ironic_horde_stockade_4	Bowyers and fletchers keep every quiver full. More ammunition and deadlier arrows for this army, at a cost in upkeep.	false
effect_bundles_localised_title_ironic_horde_stockade_5	Fletchers (Tier 5)	false
effect_bundles_localised_description_ironic_horde_stockade_5	Bowyers and fletchers keep every quiver full. More ammunition and deadlier arrows for this army, at a cost in upkeep.	false
effect_bundles_localised_title_ironic_horde_stockade_fac	Fletchers (Legacy)	false
effect_bundles_localised_description_ironic_horde_stockade_fac	Bowyers and fletchers keep every quiver full. More ammunition and deadlier arrows for this army, at a cost in upkeep.	false
effect_bundles_localised_title_ironic_horde_tribute_1	Saddlemaker (Tier 1)	false
effect_bundles_localised_description_ironic_horde_tribute_1	Saddles and tack for the riders. Harder charges and longer bowshots for this army, at a cost in upkeep.	false
effect_bundles_localised_title_ironic_horde_tribute_2	Saddlemaker (Tier 2)	false
effect_bundles_localised_description_ironic_horde_tribute_2	Saddles and tack for the riders. Harder charges and longer bowshots for this army, at a cost in upkeep.	false
effect_bundles_localised_title_ironic_horde_tribute_3	Saddlemaker (Tier 3)	false
effect_bundles_localised_description_ironic_horde_tribute_3	Saddles and tack for the riders. Harder charges and longer bowshots for this army, at a cost in upkeep.	false
effect_bundles_localised_title_ironic_horde_tribute_4	Saddlemaker (Tier 4)	false
effect_bundles_localised_description_ironic_horde_tribute_4	Saddles and tack for the riders. Harder charges and longer bowshots for this army, at a cost in upkeep.	false
effect_bundles_localised_title_ironic_horde_tribute_5	Saddlemaker (Tier 5)	false
effect_bundles_localised_description_ironic_horde_tribute_5	Saddles and tack for the riders. Harder charges and longer bowshots for this army, at a cost in upkeep.	false
effect_bundles_localised_title_ironic_horde_tribute_fac	Saddlemaker (Legacy)	false
effect_bundles_localised_description_ironic_horde_tribute_fac	Saddles and tack for the riders. Harder charges and longer bowshots for this army, at a cost in upkeep.	false
effect_bundles_localised_title_ironic_horde_shrine_1	Shaman's Yurt (Tier 1)	false
effect_bundles_localised_description_ironic_horde_shrine_1	The spirits speak through the smoke. This army stands firmer and tires slower.	false
effect_bundles_localised_title_ironic_horde_shrine_2	Shaman's Yurt (Tier 2)	false
effect_bundles_localised_description_ironic_horde_shrine_2	The spirits speak through the smoke. This army stands firmer and tires slower.	false
effect_bundles_localised_title_ironic_horde_shrine_3	Shaman's Yurt (Tier 3)	false
effect_bundles_localised_description_ironic_horde_shrine_3	The spirits speak through the smoke. This army stands firmer and tires slower.	false
effect_bundles_localised_title_ironic_horde_shrine_4	Shaman's Yurt (Tier 4)	false
effect_bundles_localised_description_ironic_horde_shrine_4	The spirits speak through the smoke. This army stands firmer and tires slower.	false
effect_bundles_localised_title_ironic_horde_shrine_5	Shaman's Yurt (Tier 5)	false
effect_bundles_localised_description_ironic_horde_shrine_5	The spirits speak through the smoke. This army stands firmer and tires slower.	false
effect_bundles_localised_title_ironic_horde_shrine_fac	Shaman's Yurt (Legacy)	false
effect_bundles_localised_description_ironic_horde_shrine_fac	The spirits speak through the smoke. This army stands firmer and tires slower.	false
effect_bundles_localised_title_ironic_horde_pasture_1	Herders (Tier 1)	false
effect_bundles_localised_description_ironic_horde_pasture_1	Herds follow the host: the people grow, a little coin flows, and riders come cheap.	false
effect_bundles_localised_title_ironic_horde_pasture_2	Herders (Tier 2)	false
effect_bundles_localised_description_ironic_horde_pasture_2	Herds follow the host: the people grow, a little coin flows, and riders come cheap.	false
effect_bundles_localised_title_ironic_horde_pasture_3	Herders (Tier 3)	false
effect_bundles_localised_description_ironic_horde_pasture_3	Herds follow the host: the people grow, a little coin flows, and riders come cheap.	false
effect_bundles_localised_title_ironic_horde_pasture_4	Herders (Tier 4)	false
effect_bundles_localised_description_ironic_horde_pasture_4	Herds follow the host: the people grow, a little coin flows, and riders come cheap.	false
effect_bundles_localised_title_ironic_horde_pasture_5	Herders (Tier 5)	false
effect_bundles_localised_description_ironic_horde_pasture_5	Herds follow the host: the people grow, a little coin flows, and riders come cheap.	false
effect_bundles_localised_title_ironic_horde_pasture_fac	Herders (Legacy)	false
effect_bundles_localised_description_ironic_horde_pasture_fac	Herds follow the host: the people grow, a little coin flows, and riders come cheap.	false
effect_bundles_localised_title_ironic_horde_artisans_1	Traveling Artisans (Tier 1)	false
effect_bundles_localised_description_ironic_horde_artisans_1	Craftsmen ply their trade on the march. Rich income, siegecraft on arrival, and cheaper recruits.	false
effect_bundles_localised_title_ironic_horde_artisans_2	Traveling Artisans (Tier 2)	false
effect_bundles_localised_description_ironic_horde_artisans_2	Craftsmen ply their trade on the march. Rich income, siegecraft on arrival, and cheaper recruits.	false
effect_bundles_localised_title_ironic_horde_artisans_3	Traveling Artisans (Tier 3)	false
effect_bundles_localised_description_ironic_horde_artisans_3	Craftsmen ply their trade on the march. Rich income, siegecraft on arrival, and cheaper recruits.	false
effect_bundles_localised_title_ironic_horde_artisans_4	Traveling Artisans (Tier 4)	false
effect_bundles_localised_description_ironic_horde_artisans_4	Craftsmen ply their trade on the march. Rich income, siegecraft on arrival, and cheaper recruits.	false
effect_bundles_localised_title_ironic_horde_artisans_5	Traveling Artisans (Tier 5)	false
effect_bundles_localised_description_ironic_horde_artisans_5	Craftsmen ply their trade on the march. Rich income, siegecraft on arrival, and cheaper recruits.	false
effect_bundles_localised_title_ironic_horde_artisans_fac	Traveling Artisans (Legacy)	false
effect_bundles_localised_description_ironic_horde_artisans_fac	Craftsmen ply their trade on the march. Rich income, siegecraft on arrival, and cheaper recruits.	false
effect_bundles_localised_title_ironic_horde_market_1	Traders and Salvagers (Tier 1)	false
effect_bundles_localised_description_ironic_horde_market_1	Nothing the horde takes goes to waste. The richest income of all, and richer post-battle loot.	false
effect_bundles_localised_title_ironic_horde_market_2	Traders and Salvagers (Tier 2)	false
