key	text	tooltip
#Loc;1;text/db/names/ironic_baekje_names.loc		
names_name_7654420	Gil	false
names_alt_name_7654420	吉	false
names_name_7654421	Seon	false
names_alt_name_7654421	宣	false
names_name_7654422	Jin	false
names_alt_name_7654422	眞	false
names_name_7654423	Gwa	false
names_alt_name_7654423	果	false
names_name_7654424	Chung	false
names_alt_name_7654424	忠	false
names_name_7654425	Mul	false
names_alt_name_7654425	勿	false
names_name_7654426	Ga	false
names_alt_name_7654426	可	false
names_name_7654427	Hoe	false
names_alt_name_7654427	茴	false
names_name_7654428	Hoe	false
names_alt_name_7654428	會	false
names_name_7654429	Woo	false
names_alt_name_7654429	優	false
names_name_7654430	Du	false
names_alt_name_7654430	豆	false
names_name_7654431	Su	false
names_alt_name_7654431	壽	false
names_name_7654432	Yu	false
names_alt_name_7654432	惟	false
names_name_7654433	Gi	false
names_alt_name_7654433	己	false
names_name_7654434	Gon	false
names_alt_name_7654434	昆	false
names_name_7654435	No	false
names_alt_name_7654435	奴	false
