key	text	tooltip
#Loc;1;text/db/rew_iro_korea_regional_units_localisation_tables.loc		
land_units_onscreen_name_3k_mod_unit_metal_yemaek_valley_warriors	Yemaek Valley Warriors	false
unit_description_historical_texts_text_3k_mod_unit_metal_yemaek_valley_warriors	PLACEHOLDER	false
unit_description_short_texts_text_3k_mod_unit_metal_yemaek_valley_warriors	PLACEHOLDER	false
land_units_onscreen_name_3k_mod_unit_waterl_yemaek_scouts	Yemaek Scouts	false
unit_description_historical_texts_text_3k_mod_unit_waterl_yemaek_scouts	PLACEHOLDER	false
unit_description_short_texts_text_3k_mod_unit_waterl_yemaek_scouts	PLACEHOLDER	false
land_units_onscreen_name_3k_mod_unit_wood_samhan_raiders	Samhan Raiders	false
unit_description_historical_texts_text_3k_mod_unit_wood_samhan_raiders	PLACEHOLDER	false
unit_description_short_texts_text_3k_mod_unit_wood_samhan_raiders	PLACEHOLDER	false
land_units_onscreen_name_3k_mod_unit_metal_samhan_assault_infantry	Samhan Assault Infantry	false
unit_description_historical_texts_text_3k_mod_unit_metal_samhan_assault_infantry	PLACEHOLDER	false
unit_description_short_texts_text_3k_mod_unit_metal_samhan_assault_infantry	PLACEHOLDER	false
land_units_onscreen_name_3k_mod_unit_wood_lelang_guards	Lelang Guards	false
unit_description_historical_texts_text_3k_mod_unit_wood_lelang_guards	PLACEHOLDER	false
unit_description_short_texts_text_3k_mod_unit_wood_lelang_guards	PLACEHOLDER	false
land_units_onscreen_name_3k_mod_unit_metal_daifang_defenders	Daifang Defenders	false
unit_description_historical_texts_text_3k_mod_unit_metal_daifang_defenders	PLACEHOLDER	false
unit_description_short_texts_text_3k_mod_unit_metal_daifang_defenders	PLACEHOLDER	false
