key	text	tooltip
#Loc;1;text/db/rew_iro_southern_update_units.loc		
land_units_onscreen_name_unit_metal_zu_lang_shanyue_bandits	Shanyue Bandits	true
land_units_onscreen_name_unit_metal_zu_lang_coastal_marauders	Coastal Marauders	true
land_units_onscreen_name_unit_metal_tong_zhi_wu_drafted_guards	Wu Drafted Guards	true
land_units_onscreen_name_unit_metal_tong_zhi_southern_honor_guard	Southern Honor Guard	true
land_units_onscreen_name_unit_wood_wang_sheng_shanyue_levies	Shanyue Levies	true
land_units_onscreen_name_unit_wood_wang_sheng_provincial_defenders	Provincial Defenders	true
land_units_onscreen_name_unit_wood_hua_xin_poyang_civic_spearmen	Poyang Civic Spearmen	true
land_units_onscreen_name_unit_wood_hua_xin_southern_ambushers	Southern Ambushers	true
land_units_onscreen_name_unit_water_zhu_hao_volunteer_bowmen	Volunteer Bowmen	true
land_units_onscreen_name_unit_wood_zhu_hao_zhu_loyalist_guards	Zhu Loyalist	true
land_units_onscreen_name_unit_wood_zhuge_xuan_yuzhang_spearmen	Yuzhang Spearmen	true
land_units_onscreen_name_unit_water_zhuge_xuan_white_dragon_crossbowmen	White Dragon Crossbowmen	true
land_units_onscreen_name_unit_wood_sheng_xian_danyang_volunteers	Danyang Volunteers	true
land_units_onscreen_name_unit_wood_sheng_xian_wu_peacekeepers	Wu Peacekeepers	true
land_units_onscreen_name_unit_water_ma_ai_wraths_of_jiuquan	Wrath of Jiuquan	true
land_units_onscreen_name_unit_fire_ma_ai_wusun_horsemen	Wusun Horsemen	true
land_units_onscreen_name_unit_metal_handan_shang_caravan_guards	Caravan Guards	true
land_units_onscreen_name_unit_earth_handan_shang_nothern_pillagers	Northern Plunderers	true
land_units_onscreen_name_unit_wood_huang_ang_frontier_guardians	Frontier Guardians	true
land_units_onscreen_name_unit_earth_huang_ang_household_riders	Household Riders	true
