key	text	tooltip
#Loc;1;text/ui/ironic_korea_court__.loc		
ministerial_positions_strings_on_screen_3k_korea_court_offices_grand_tutor	Prime Chancellor of the Realm	false
ministerial_positions_strings_on_screen_3k_korea_court_offices_grand_tutor_description	There must always be a loyal high-ranking official who assists the king closely in all affairs.	false
ministerial_positions_strings_on_screen_3k_korea_court_offices_minister_of_the_imperial_clan	High Spokesman of the Clans	false
ministerial_positions_strings_on_screen_3k_korea_court_offices_minister_of_the_imperial_clan_description	In times when royal authority is weak, a representative who voices the opinions of each tribe is essential in an ancient confederation.	false
ministerial_positions_strings_on_screen_3k_korea_court_offices_general_in_chief	Grand General of the Armies	false
ministerial_positions_strings_on_screen_3k_korea_court_offices_general_in_chief_description	The Grand General commands all the soldiers of the nation, but it is the king who grants that authority.	false
ministerial_positions_strings_on_screen_3k_korea_court_offices_minister_of_finance	Grand Minister of Finance	false
ministerial_positions_strings_on_screen_3k_korea_court_offices_minister_of_finance_description	Oversees the entire national treasury - a role that demands a person of impeccable integrity.	false
ministerial_positions_strings_on_screen_3k_korea_court_offices_grand_excellency_over_the_masses	Grand Minister of Education	false
ministerial_positions_strings_on_screen_3k_korea_court_offices_grand_excellency_over_the_masses_description	Education is the most important means of reforming people, as the wise of old would always say when teaching.	false
ministerial_positions_strings_on_screen_3k_korea_court_offices_minister_of_ceremonies	Minister of Ceremonies	false
ministerial_positions_strings_on_screen_3k_korea_court_offices_minister_of_ceremonies_description	Royal etiquette and ceremonies are not only national events but also occasions to consider the welfare of the people.	false
ministerial_positions_strings_on_screen_3k_korea_court_offices_grand_commandant	Minister of Inspections	false
ministerial_positions_strings_on_screen_3k_korea_court_offices_grand_commandant_description	Before issuing punishment, thoroughly investigating the matter is the foundation for fair judgment.	false
ministerial_positions_strings_on_screen_3k_korea_court_offices_minister_of_the_guards	Minister of the Guards	false
ministerial_positions_strings_on_screen_3k_korea_court_offices_minister_of_the_guards_description	Protecting the king and high ministers is one of the nation's most critical duties.	false
ministerial_positions_strings_on_screen_3k_korea_court_offices_grand_excellency_of_works	Minister of Public Works	false
ministerial_positions_strings_on_screen_3k_korea_court_offices_grand_excellency_of_works_description	Constructing planned cities and buildings requires someone who can set and maintain a perfect foundation.	false
ministerial_positions_strings_on_screen_3k_korea_court_offices_minister_of_the_imperial_household	Minister of Personnel	false
ministerial_positions_strings_on_screen_3k_korea_court_offices_minister_of_the_imperial_household_description	Any place that manages its people effectively holds the greatest power.	false
ministerial_positions_strings_on_screen_3k_korea_court_offices_minister_steward	Minister of Industry Development	false
ministerial_positions_strings_on_screen_3k_korea_court_offices_minister_steward_description	The first step in developing culture is having the technical skills to bring imagination to life.	false
ministerial_positions_strings_on_screen_3k_korea_court_offices_minister_coachman	Minister of Horse Management	false
ministerial_positions_strings_on_screen_3k_korea_court_offices_minister_coachman_description	Is it worth appointing a minister just for horse management? Absolutely!	false
ministerial_positions_strings_on_screen_3k_korea_court_offices_minister_of_justice	Minister of Justice	false
ministerial_positions_strings_on_screen_3k_korea_court_offices_minister_of_justice_description	If one breaks the law, no matter how high their status, they cannot escape humiliation.	false
ministerial_positions_strings_on_screen_3k_korea_court_offices_minister_herald	Minister of Foreign Affairs	false
ministerial_positions_strings_on_screen_3k_korea_court_offices_minister_herald_description	The crucial first step in opening relations with foreign nations is choosing the right person to send there.	false
