key	text	tooltip
#Loc;1;text/ui/ironic_loot_case__.loc		
campaign_localised_strings_string_loot_case_title	BLACK MARKET	false
campaign_localised_strings_string_loot_case_open	OPEN	false
campaign_localised_strings_string_loot_case_open_x10	OPEN x10	false
campaign_localised_strings_string_loot_case_weapon_base	Weapon Chest	false
campaign_localised_strings_string_loot_case_armour_base	Armour Chest	false
campaign_localised_strings_string_loot_case_mount_base	Mount Chest	false
campaign_localised_strings_string_loot_case_follower_base	Follower Chest	false
campaign_localised_strings_string_loot_case_accessory_base	Accessory Chest	false
campaign_localised_strings_string_loot_case_mix_base	Mixed Chest	false
campaign_localised_strings_string_loot_case_weapon_exc	Fine Weapon Chest	false
campaign_localised_strings_string_loot_case_armour_exc	Fine Armour Chest	false
campaign_localised_strings_string_loot_case_mount_exc	Fine Mount Chest	false
campaign_localised_strings_string_loot_case_follower_exc	Fine Follower Chest	false
campaign_localised_strings_string_loot_case_accessory_exc	Fine Accessory Chest	false
campaign_localised_strings_string_loot_case_mix_exc	Fine Mixed Chest	false
uied_component_texts_localised_string_black_market_button_Tooltip_1c3214	[[b]]Black Market[[/b]] ||View and purchase different cases from the black market.	false
