key	text	tooltip
#Loc;1;text/ui/ironic_vassal_contracts__.loc		
campaign_diplomacy_treaty_components_onscreen_name_treaty_components_vc_taxes_0	Tribute: tax 0%%	false
ui_diplomacy_treaty_components_localised_title_ui_treaty_components_vc_taxes_0	Tribute: tax 0%%	false
ui_diplomacy_treaty_components_localised_tooltip_ui_treaty_components_vc_taxes_0	HIDDEN	false
ui_diplomacy_treaty_components_localised_action_ui_treaty_components_vc_taxes_0	Tribute: tax 0%%	false
ui_diplomacy_treaty_components_localised_proposer_string_ui_treaty_components_vc_taxes_0	HIDDEN	false
ui_diplomacy_treaty_components_localised_recipient_string_ui_treaty_components_vc_taxes_0	HIDDEN	false
ui_diplomacy_treaty_components_localised_active_proposer_string_ui_treaty_components_vc_taxes_0	{#recipientsfaction#} sends us 0%% of their tax income	false
ui_diplomacy_treaty_components_localised_active_recipient_string_ui_treaty_components_vc_taxes_0	We send {#proposersfaction#} 0%% of our tax income	false
ui_diplomacy_treaty_components_localised_event_feed_header_ui_treaty_components_vc_taxes_0	HIDDEN	false
ui_diplomacy_treaty_components_localised_event_feed_subheader_ui_treaty_components_vc_taxes_0	HIDDEN	false
campaign_diplomacy_treaty_components_onscreen_name_treaty_components_vc_taxes_10	Tribute: tax 10%%	false
ui_diplomacy_treaty_components_localised_title_ui_treaty_components_vc_taxes_10	Tribute: tax 10%%	false
ui_diplomacy_treaty_components_localised_tooltip_ui_treaty_components_vc_taxes_10	HIDDEN	false
ui_diplomacy_treaty_components_localised_action_ui_treaty_components_vc_taxes_10	Tribute: tax 10%%	false
ui_diplomacy_treaty_components_localised_proposer_string_ui_treaty_components_vc_taxes_10	HIDDEN	false
ui_diplomacy_treaty_components_localised_recipient_string_ui_treaty_components_vc_taxes_10	HIDDEN	false
ui_diplomacy_treaty_components_localised_active_proposer_string_ui_treaty_components_vc_taxes_10	{#recipientsfaction#} sends us 10%% of their tax income	false
ui_diplomacy_treaty_components_localised_active_recipient_string_ui_treaty_components_vc_taxes_10	We send {#proposersfaction#} 10%% of our tax income	false
ui_diplomacy_treaty_components_localised_event_feed_header_ui_treaty_components_vc_taxes_10	HIDDEN	false
ui_diplomacy_treaty_components_localised_event_feed_subheader_ui_treaty_components_vc_taxes_10	HIDDEN	false
campaign_diplomacy_treaty_components_onscreen_name_treaty_components_vc_taxes_20	Tribute: tax 20%%	false
ui_diplomacy_treaty_components_localised_title_ui_treaty_components_vc_taxes_20	Tribute: tax 20%%	false
ui_diplomacy_treaty_components_localised_tooltip_ui_treaty_components_vc_taxes_20	HIDDEN	false
ui_diplomacy_treaty_components_localised_action_ui_treaty_components_vc_taxes_20	Tribute: tax 20%%	false
ui_diplomacy_treaty_components_localised_proposer_string_ui_treaty_components_vc_taxes_20	HIDDEN	false
ui_diplomacy_treaty_components_localised_recipient_string_ui_treaty_components_vc_taxes_20	HIDDEN	false
ui_diplomacy_treaty_components_localised_active_proposer_string_ui_treaty_components_vc_taxes_20	{#recipientsfaction#} sends us 20%% of their tax income	false
ui_diplomacy_treaty_components_localised_active_recipient_string_ui_treaty_components_vc_taxes_20	We send {#proposersfaction#} 20%% of our tax income	false
ui_diplomacy_treaty_components_localised_event_feed_header_ui_treaty_components_vc_taxes_20	HIDDEN	false
ui_diplomacy_treaty_components_localised_event_feed_subheader_ui_treaty_components_vc_taxes_20	HIDDEN	false
campaign_diplomacy_treaty_components_onscreen_name_treaty_components_vc_taxes_35	Tribute: tax 35%%	false
ui_diplomacy_treaty_components_localised_title_ui_treaty_components_vc_taxes_35	Tribute: tax 35%%	false
ui_diplomacy_treaty_components_localised_tooltip_ui_treaty_components_vc_taxes_35	HIDDEN	false
ui_diplomacy_treaty_components_localised_action_ui_treaty_components_vc_taxes_35	Tribute: tax 35%%	false
