key	text	tooltip
#Loc;1;text/ui/ironic_vassal_panel__.loc		
campaign_localised_strings_string_ironic_vc_title	Vassal Contracts	false
campaign_localised_strings_string_ironic_vc_empty	You have no vassals and no master.	false
campaign_localised_strings_string_ironic_vc_hint	Share of each income source the vassal sends its master. Click a step to change it; the vassal's attitude follows at once.	false
campaign_localised_strings_string_ironic_vc_contract	of which the contract:	false
campaign_localised_strings_string_ironic_vc_capital	Capital:	false
campaign_localised_strings_string_ironic_vc_dial_background	Family Estate	false
campaign_localised_strings_string_ironic_vc_dial_loot	War loot	false
campaign_localised_strings_string_ironic_vc_dial_taxes	Taxes	false
campaign_localised_strings_string_ironic_vc_dial_trade	Trade	false
campaign_localised_strings_string_ironic_vc_attitude	Attitude	false
campaign_localised_strings_string_ironic_vc_locked	Locked for	false
campaign_localised_strings_string_ironic_vc_turns	turns	false
campaign_localised_strings_string_ironic_vc_turns_left	turns left	false
campaign_localised_strings_string_ironic_vc_confirm_a	Change	false
campaign_localised_strings_string_ironic_vc_confirm_b	to	false
campaign_localised_strings_string_ironic_vc_confirm_c	% now? It costs trustworthiness and attitude.	false
campaign_localised_strings_string_ironic_vc_confirm	Confirm	false
campaign_localised_strings_string_ironic_vc_cancel	Cancel	false
uied_component_texts_localised_string_ironic_vc_button_tt	[[b]]Vassal Contracts[[/b]] ||Set how much of each income source your vassals send you, gift them gold, merge or annex them; as a vassal, ask your master for tasks that lower your tribute.\\n\\n[[i]]Unlocks when you have a vassal or a master.[[/i]]	false
campaign_localised_strings_string_ironic_vc_tasks_hdr	Tasks from your master	false
campaign_localised_strings_string_ironic_vc_tasks_hint	Ask your master for a task. Completing it lowers one of your tribute dials; failing it sours their attitude and no task is offered for 10 turns.	false
campaign_localised_strings_string_ironic_vc_task_request	Request a task	false
campaign_localised_strings_string_ironic_vc_task_accept	Accept	false
campaign_localised_strings_string_ironic_vc_task_show	Show mission	false
campaign_localised_strings_string_ironic_vc_task_wait	Next request in	false
campaign_localised_strings_string_ironic_vc_task_reward	Reward:	false
campaign_localised_strings_string_ironic_vc_task_defeat_army	Strike Our Enemy	false
campaign_localised_strings_string_ironic_vc_task_capture_region	Take Their Walls	false
campaign_localised_strings_string_ironic_vc_task_raise_army	Muster for Your Master	false
campaign_localised_strings_string_ironic_vc_task_develop	Build for the Realm	false
campaign_localised_strings_string_ironic_vc_task_income	Fill the Coffers	false
campaign_localised_strings_string_ironic_vc_task_treasury	Pay in Gold	false
campaign_localised_strings_string_ironic_vc_task_unite_destroy	Break Our Enemy	false
campaign_localised_strings_string_ironic_vc_task_unite_land	Land for the Master	false
campaign_localised_strings_string_ironic_vc_task_unite_armies	Bleed Our Enemy	false
campaign_localised_strings_string_ironic_vc_unite_request	Ask to unite with	false
campaign_localised_strings_string_ironic_vc_task_accept_a	Accept: court joins you	false
campaign_localised_strings_string_ironic_vc_task_accept_m	Accept: court joins	false
campaign_localised_strings_string_ironic_vc_merge_hdr	Merge another vassal into	false
campaign_localised_strings_string_ironic_vc_merge_a	Merge: court joins	false
campaign_localised_strings_string_ironic_vc_merge_m	Merge: court joins you	false
campaign_localised_strings_string_ironic_vc_actions	Actions	false
campaign_localised_strings_string_ironic_vc_annex	Annex	false
campaign_localised_strings_string_ironic_vc_gift	Gift gold	false
campaign_localised_strings_string_ironic_vc_gift_wait	Next gift in	false
campaign_localised_strings_string_ironic_vc_att_1	Hostile	false
campaign_localised_strings_string_ironic_vc_att_2	Unfriendly	false
campaign_localised_strings_string_ironic_vc_att_3	Wary	false
campaign_localised_strings_string_ironic_vc_att_4	Neutral	false
campaign_localised_strings_string_ironic_vc_att_5	Friendly	false
campaign_localised_strings_string_ironic_vc_att_6	Very friendly	false
campaign_localised_strings_string_ironic_vc_att_7	Best friends	false
